 ;;LAPORAN PENJUALAN DETAIL;;;;;;PERIODE : 01/07/26 - 31/07/26;;;;
;;INSPIRASI MEDIA KREATIF;;;;;;;;;;
;;;;;;;;;;;;
;;JL. TUKAD BATANGHARI XI NO 2;;;;;;;;;;
;;0361-4783465;;;;;;;;;;
;;-;;;;;;;;;;
 ;;;;;;;;;;;;
No Transaksi;;Tanggal;;Dept.;Kode Pel.;Nama Pelanggan;;;Alamat;;;
 ;;;;;;;;;;;;
 ;;;;;;;;;;;;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;5.945.500;;
 ;;;;;;;;;;;;
JL-0011374-26;;02/07/2026;;;PL0730;SOHARI;;;SRUMBUNG RT003/000 SEGOROYOSO PELRET BANTUL DI YOGYAKARTA;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;CAT CHOIZE KITTEN TUNA 20KG;CAT CHOIZE KITTEN TUNA 20KG;;;;;1;SAK;471.000;0;471.000;
;;;;;; ;;;;;;
;;;;;;;1;;;;471.000;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;471.000;;
 ;;;;;;;;;;;;
JL-0011376-26;;02/07/2026;;;PL5128;ABIAN FARM - JAGAKARSA;;;JL.JAGAKARSA RAYA  NO.4/65 RT.009/003 KEL.JAGAKARSA JAKARTA SELATAN ;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;CAT CHOIZE TUNA 20KG;CAT CHOIZE TUNA 20KG;;;;;10;SAK;419.000;0;4.190.000;
2;EXCEL CAT 20 KG TI;EXCEL CAT 20 KG TUNA IKAN;;;;;5;SAK;423.500;0;2.117.500;
;;;;;; ;;;;;;
;;;;;;;15;;;;6.307.500;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;6.307.500;;
 ;;;;;;;;;;;;
JL-0011383-26;;02/07/2026;;;PL0168;SARTO - JAGAKARSA;;;JAGAKARSA JAKARTA SELATAN DKI JAKARTA;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;CAT CHOIZE KITTEN TUNA 20KG;CAT CHOIZE KITTEN TUNA 20KG;;;;;1;SAK;471.000;0;471.000;
;;;;;; ;;;;;;
;;;;;;;1;;;;471.000;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;471.000;;
 ;;;;;;;;;;;;
JL-0011392-26;;02/07/2026;;;PL3742;SOPIAN SAPUTRA - TUGU CIMANGGIS;;;KOMP. TIMAH BLOK HH2 NO.23B RT.007/012 KEL. TUGU KEC. CIMANGGIS KOTA DEPOK JAWA BARAT;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;CAT CHOIZE KITTEN TUNA 20KG;CAT CHOIZE KITTEN TUNA 20KG;;;;;1;SAK;471.000;0;471.000;
;;;;;; ;;;;;;
;;;;;;;1;;;;471.000;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;471.000;;
 ;;;;;;;;;;;;
JL-0011394-26;;02/07/2026;;;PL1122;WIDOYO;;;JL.PASAR KECAPI JATI WARNA PONDOK MELATI (KIOS RAFLI)  ;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;CAT CHOIZE KITTEN TUNA 20KG;CAT CHOIZE KITTEN TUNA 20KG;;;;;5;SAK;469.000;0;2.345.000;
2;LEZATO TUNA 20KG;LEZATO TUNA 20KG;;;;;5;SAK;396.000;0;1.980.000;
3;CAT CHOIZE TUNA 20KG;CAT CHOIZE TUNA 20KG;;;;;5;SAK;417.000;0;2.085.000;
4;CAT CHOIZE SALMON 20KG;CAT CHOIZE SALMON 20KG;;;;;5;SAK;417.000;0;2.085.000;
5;BOLT CAT TUNA 20KG IKAN FRESHPACK;BOLT CAT TUNA 20KG IKAN FRESHPACK;;;;;35;SAK;413.000;0;14.455.000;
6;BOLT CAT SALMON 20KG FRESHPACK BULAT;BOLT CAT SALMON 20KG FRESHPACK BULAT;;;;;5;SAK;413.000;0;2.065.000;
;;;;;; ;;;;;;
;;;;;;;60;;;;25.015.000;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;25.015.000;;
 ;;;;;;;;;;;;
JL-0011396-26;;02/07/2026;;;PL5128;ABIAN FARM - JAGAKARSA;;;JL.JAGAKARSA RAYA  NO.4/65 RT.009/003 KEL.JAGAKARSA JAKARTA SELATAN ;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;MARKOTOPS CAT LITTER 5.5 L;PASIR MARKOTOPS 5.5 L (ISI 5);;;;;25;PCS;30.000;0;750.000;
2;MARKOTOPS CAT LITTER 10 LTR;PASIR MARKOTOPS 10 L (ISI 3);;;;;15;PCS;52.500;0;787.500;
3;PAWSITIVE CAT SAND 5.5 L (ISI 5);PAWSITIVE CAT SAND 5.5 L (ISI 5);;;;;25;PCS;30.500;0;762.500;
4;PAWSITIVE CAT SAND 10 L;PAWSITIVE CAT SAND 10 L (ISI 3);;;;;15;PCS;53.000;0;795.000;
5;TARO CAT LITTER 5 LT;TARO CAT LITTER 5 LT (ISI 6);;;;;30;PCS;25.000;0;750.000;
6;CAT CHOIZE KITTEN TUNA 20KG;CAT CHOIZE KITTEN TUNA 20KG;;;;;3;SAK;471.000;0;1.413.000;
7;CAT CHOIZE SALMON 20KG;CAT CHOIZE SALMON 20KG;;;;;3;SAK;419.000;0;1.257.000;
8;LEZATO TUNA 20KG;LEZATO TUNA 20KG;;;;;2;SAK;398.000;0;796.000;
9;CHESTER 20 KG FP - TUNA;CHESTER 20 KG FP - TUNA;;;;;2;SAK;379.000;0;758.000;
10;BOLT CAT MOTHER&KITTEN 20KG SALMON;BOLT CAT MOTHER&KITTEN 20KG SALMON;;;;;2;SAK;471.500;0;943.000;
11;MISTER PUSS SALMON 20KG;MISTER PUSS SALMON 20KG;;;;;3;SAK;383.000;0;1.149.000;
12;MISTER PUSS TUNA 20KG;MISTER PUSS TUNA 20KG;;;;;3;SAK;383.000;0;1.149.000;
;;;;;; ;;;;;;
;;;;;;;128;;;;11.310.000;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;11.310.000;;
 ;;;;;;;;;;;;
JL-0011399-26;;02/07/2026;;;PL1499;JAMHURI;;;DESA KEBANDINGAN NO.23 RT.002/001 KEL. KEBANDINGAN KEC. KEDUNGBANTENG KABUPATEN TEGAL JAWA TENGAH;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;BOLT DOG 20KG LAMB - FRESHPACK;BOLT DOG 20KG LAMB - FRESHPACK;;;;;2;SAK;342.000;0;684.000;
;;;;;; ;;;;;;
;;;;;;;2;;;;684.000;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;684.000;;
 ;;;;;;;;;;;;
JL-0011403-26;;02/07/2026;;;PL7317;MUHAMMAD SIDIK;;;KEBAGUSAN WATES NO.21 RT.008/004 KEL. KEBAGUSAN KEC. PASAR MINGGU JAKARTA SELATAN DKI JAKARTA;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;PASIR BOSSCAT 25 L;PASIR BOSS CAT 25 L;;;;;2;PCS;90.000;0;180.000;
2;BOLT CAT TUNA 20KG IKAN FRESHPACK;BOLT CAT TUNA 20KG IKAN FRESHPACK;;;;;1;SAK;415.000;0;415.000;
3;BEAUTY CAT 20KG - CHICKEN & SALMON;BEAUTY CAT 20KG - CHICKEN & SALMON;;;;;1;SAK;523.000;0;523.000;
4;CAT CHOIZE KITTEN TUNA 20KG;CAT CHOIZE KITTEN TUNA 20KG;;;;;1;SAK;471.000;0;471.000;
5;EXCEL CAT 20 KG TI;EXCEL CAT 20 KG TUNA IKAN;;;;;1;SAK;423.500;0;423.500;
6;BOLT CAT SALMON 20KG FRESHPACK BULAT;BOLT CAT SALMON 20KG FRESHPACK BULAT;;;;;1;SAK;415.000;0;415.000;
7;MISTER PUSS TUNA 20KG;MISTER PUSS TUNA 20KG;;;;;1;SAK;383.000;0;383.000;
;;;;;; ;;;;;;
;;;;;;;8;;;;2.810.500;
Pot. :;0;;Pajak :;0;;Biaya :;0;;Total Akhir :;2.810.500;;
 ;;;;;;;;;;;;
JL-0011404-26;;02/07/2026;;;PL1759;HADY (LEOPARD) - PS. MINGGU;;;JL. RAYA RAGUNAN KOMP. KEJAKSAAN AGUNG BLOK C NO.2 RT/RW 03/03 PASAR MINGGU  ;;;
No.;Kd. Item;Nama Item;;;;;Jml;Satuan;Harga;Pot. %;Total;
1;LIFE CAT 20 KG;LIFE CAT 20 KG;;;;;1;SAK;515.500;0;515.500;
2;BOLT CAT TUNA 20KG IKAN FRESHPACK;BOLT CAT TUNA 20KG IKAN FRESHPACK;;;;;5;SAK;413.000;0;2.065.000;
3;BOLT CAT SALMON 20KG FRESHPACK BULAT;BOLT CAT SALMON 20KG FRESHPACK BULAT;;;;;1;SAK;413.000;0;413.000;
4;CAT CHOIZE TUNA 20KG;CAT CHOIZE TUNA 20KG;;;;;2;SAK;417.000;0;834.000;
5;FELIBITE 500 GR I (SAK);FELIBITE 500 GR IKAN (SAK);;;;;1;SAK;440.500;0;440.500;
6;FELIBITE 500 GR SM (SAK);FELIBITE 500 GR SALMON MENTAI (SAK);;;;;1;SAK;440.500;0;440.500;
7;LEZATO TUNA 20KG;LEZATO TUNA 20KG;;;;;1;SAK;396.000;0;396.000;
